# r_pc rho_Msun_pc3 sigma1d_kms pressure_rho_sigma2 N_scatter_per_orbit
2.272520611743e-06 1.547864697449e+10 5.503008033368e+04 4.687413741856e+19 5.164567280591e-08
2.288400808840e-06 1.531780739282e+10 5.483880929912e+04 4.606516566526e+19 5.215950741578e-08
2.304391975519e-06 1.515863910560e+10 5.464820307613e+04 4.527015545710e+19 5.267843860974e-08
2.320494887225e-06 1.500112474631e+10 5.445825935397e+04 4.448886584035e+19 5.320251676574e-08
2.336710324825e-06 1.484524712887e+10 5.426897582996e+04 4.372106001976e+19 5.373179275776e-08
2.353039074640e-06 1.469098924579e+10 5.408035020941e+04 4.296650528678e+19 5.426631796067e-08
2.369481928488e-06 1.453833426631e+10 5.389238020561e+04 4.222497294903e+19 5.480614425517e-08
2.386039683717e-06 1.438726553454e+10 5.370506353980e+04 4.149623826099e+19 5.535132403271e-08
2.402713143252e-06 1.423776656769e+10 5.351839794114e+04 4.078008035590e+19 5.590191020054e-08
2.419503115623e-06 1.408982105423e+10 5.333238114667e+04 4.007628217880e+19 5.645795618670e-08
2.436410415014e-06 1.394341285212e+10 5.314701090132e+04 3.938463042073e+19 5.701951594521e-08
2.453435861296e-06 1.379852598706e+10 5.296228495783e+04 3.870491545412e+19 5.758664396114e-08
2.470580280072e-06 1.365514465073e+10 5.277820107677e+04 3.803693126922e+19 5.815939525588e-08
2.487844502711e-06 1.351325319910e+10 5.259475702649e+04 3.738047541168e+19 5.873782539236e-08
2.505229366394e-06 1.337283615066e+10 5.241195058310e+04 3.673534892119e+19 5.932199048035e-08
2.522735714151e-06 1.323387818481e+10 5.222977953044e+04 3.610135627116e+19 5.991194718186e-08
2.540364394903e-06 1.309636414011e+10 5.204824166003e+04 3.547830530950e+19 6.050775271650e-08
2.558116263503e-06 1.296027901269e+10 5.186733477109e+04 3.486600720032e+19 6.110946486699e-08
2.575992180779e-06 1.282560795458e+10 5.168705667050e+04 3.426427636676e+19 6.171714198461e-08
2.593993013573e-06 1.269233627209e+10 5.150740517272e+04 3.367293043471e+19 6.233084299487e-08
2.612119634785e-06 1.256044942421e+10 5.132837809985e+04 3.309179017753e+19 6.295062740303e-08
2.630372923415e-06 1.242993302105e+10 5.114997328155e+04 3.252067946176e+19 6.357655529985e-08
2.648753764605e-06 1.230077282222e+10 5.097218855499e+04 3.195942519372e+19 6.420868736730e-08
2.667263049682e-06 1.217295473531e+10 5.079502176491e+04 3.140785726703e+19 6.484708488434e-08
2.685901676201e-06 1.204646481434e+10 5.061847076350e+04 3.086580851108e+19 6.549180973278e-08
2.704670547992e-06 1.192128925828e+10 5.044253341043e+04 3.033311464036e+19 6.614292440320e-08
2.723570575197e-06 1.179741440945e+10 5.026720757282e+04 2.980961420466e+19 6.680049200086e-08
2.742602674321e-06 1.167482675213e+10 5.009249112518e+04 2.929514854014e+19 6.746457625180e-08
2.761767768272e-06 1.155351291102e+10 4.991838194942e+04 2.878956172124e+19 6.813524150882e-08
2.781066786407e-06 1.143345964982e+10 4.974487793483e+04 2.829270051342e+19 6.881255275770e-08
2.800500664578e-06 1.131465386977e+10 4.957197697800e+04 2.780441432673e+19 6.949657562336e-08
2.820070345177e-06 1.119708260819e+10 4.939967698286e+04 2.732455517015e+19 7.018737637612e-08
2.839776777180e-06 1.108073303714e+10 4.922797586061e+04 2.685297760676e+19 7.088502193801e-08
2.859620916196e-06 1.096559246194e+10 4.905687152972e+04 2.638953870963e+19 7.158957988918e-08
2.879603724510e-06 1.085164831984e+10 4.888636191588e+04 2.593409801853e+19 7.230111847430e-08
