branch,tau_relax,time_myr,rho_inner_mean_msun_pc3,sigma_inner_1d_kms,r_inner_pc,inner_shell_mass_msun,rho_c_msun_pc3,sigma_c_kms,r0_pc,M_bh_msun,L_inner_msun_kms2_per_myr,captured_mass_msun,E_boundary_msun_kms2,E_conduction_budget_error_msun_kms2,E_total_code,n_conduction,lmfp_scaleheight_factor_inner,lmfp_scaleheight_factor_min
sink,0.04200000289269023,7.778983481658786,24.195740228073397,33.27585900724947,12.642452066457713,204797.0322016099,24.195740228073397,33.27585900724947,12.642452066457713,3999999.999999999,-133675.11181299388,109.37877762875816,-1039856.4867021992,-4.745102815538686e-10,-0.22376710360699623,845111,0.1331461505931116,0.078002545651499
sink,0.04400002157085906,8.14941470044311,25.053571719095586,33.25962477052552,12.496481056142185,204797.0322016099,25.053571719095586,33.25962477052552,12.496481056142185,3999999.999999999,-133675.11181299388,114.5873391331876,-1089373.9212922337,-7.6479830983798e-10,-0.22376712200149643,906968,0.1331461490829737,0.07736103890020275
sink,0.04600002727491892,8.519843516242377,25.93430732812322,33.24580776030205,12.353387523454547,204797.0322016099,25.93430732812322,33.24580776030205,12.353387523454547,3999999.999999999,-133675.11181299388,119.79586684971032,-1138891.0346629529,-1.0607190349295424e-09,-0.22376714067978543,970979,0.1331461476478428,0.07672779951724332
sink,0.048000014525183564,8.890268914142636,26.840417228981458,33.23421741669966,12.212779812026143,204797.0322016099,26.840417228981458,33.23421741669966,12.212779812026143,3999999.999999999,-133675.11181299388,125.00434650781816,-1188407.6911456264,-1.3241453911602496e-09,-0.22376715966861252,1037207,0.1331461462774245,0.07610099874774211
sink,0.050000023874559194,9.26069840510498,27.7745378692008,33.22469729318408,12.074301027204088,204797.0322016099,27.7745378692008,33.22469729318408,12.074301027204088,3999999.999999999,-133675.11181299388,130.21288371767793,-1237924.8947688711,-1.5543187344440702e-09,-0.2237671789981057,1105723,0.13314614496290925,0.07547894977533098
sink,0.05200001104743247,9.631123788671283,28.739445344481965,33.21712072080673,11.937631006780313,204797.0322016099,28.739445344481965,33.21712072080673,11.937631006780313,3999999.999999999,-133675.11181299388,135.4213631742388,-1287441.5493354565,-1.8107609570643728e-09,-0.22376719870070874,1176602,0.13314614369667654,0.07486011504663376
sink,0.05400000725040079,10.001550844736526,29.73816691251853,33.211386199401396,11.802469269643945,204797.0322016099,29.73816691251853,33.211386199401396,11.802469269643945,3999999.999999999,-133675.11181299388,140.6298661474828,-1336958.4274735434,-2.0582830251710893e-09,-0.2237672188129886,1249929,0.13314614247202503,0.07424302830796177
sink,0.05600001285970009,10.37197964298482,30.77397245195601,33.20741502088804,11.668537372021152,204797.0322016099,30.77397245195601,33.20741502088804,11.668537372021152,3999999.999999999,-133675.11181299388,145.8383936172247,-1386475.5384981413,-2.3469854845170035e-09,-0.22376723937497234,1325796,0.13314614128300736,0.0736263036912618
sink,0.05800000855566282,10.74240660514559,31.850424102397326,33.205148997732074,11.53557375909898,204797.0322016099,31.850424102397326,33.205148997732074,11.53557375909898,3999999.999999999,-133675.11181299388,151.04689527009612,-1435992.4040835479,-2.5224479311379087e-09,-0.22376726043065562,1404303,0.13314614012435916,0.07300861124189702
sink,0.0593231093924701,10.987463244317489,32.586793446409416,33.20456718094437,11.448020454835742,204797.0322016099,32.586793446409416,33.20456718094437,11.448020454835742,3999999.999999999,-133675.11181299388,154.49258913300665,-1468750.377725372,-2.708905446701231e-09,-0.2237672746550956,1457744,0.1331461393721469,0.07259880509130365
