# r[pc] rho[Msun/pc3] sigma[km/s] N gamma
8.973854132108260728e+01 2.387948368526580989e+00 3.122197233078885503e+01 2.812620829746951756e+01 3.671228163651072407e-01
9.118633762128740727e+01 2.373759592277326025e+00 3.121922205160758423e+01 2.841016502345175354e+01 3.777335025976142902e-01
9.265963821651841670e+01 2.359228190548551041e+00 3.121638979968957273e+01 2.869246097630501779e+01 3.886281219761009709e-01
9.415900868595559814e+01 2.344348702156720865e+00 3.121347319370152107e+01 2.897285799695483632e+01 3.998129352508890122e-01
9.568503256911166943e+01 2.329115752430437336e+00 3.121046978636710278e+01 2.925110872802730810e+01 4.112942603815881171e-01
9.723831216281018897e+01 2.313524066705130444e+00 3.120737706277356693e+01 2.952695648317525468e+01 4.230784673593106504e-01
9.881946935948757016e+01 2.297568484537778399e+00 3.120419243863957703e+01 2.980013512874612402e+01 4.351719726467706550e-01
1.004291465313709324e+02 2.281243974667257035e+00 3.120091325854532371e+01 3.007036897998979086e+01 4.475812328483428360e-01
1.020680074635576631e+02 2.264545650725106718e+00 3.119753679412235314e+01 3.033737271330755902e+01 4.603127380527638479e-01
1.037367383377147974e+02 2.247468787716277117e+00 3.119406024220334217e+01 3.060085129588984287e+01 4.733730045105382089e-01
1.054360487711213636e+02 2.230008839280785526e+00 3.119048072293097462e+01 3.086049993493710986e+01 4.867685667405332595e-01
1.071666729128305491e+02 2.212161455747699623e+00 3.118679527782518335e+01 3.111600404783599672e+01 5.005059689576079052e-01
1.089293706026357711e+02 2.193922502987502021e+00 3.118300086780800129e+01 3.136703925579962160e+01 5.145917558506027945e-01
1.107249285949520896e+02 2.175288082068005835e+00 3.117909437118490601e+01 3.161327140246307366e+01 5.290324627137295010e-01
1.125541618528870771e+02 2.156254549720565628e+00 3.117507258158256178e+01 3.185435659993355983e+01 5.438346047315150145e-01
1.144179149167450475e+02 2.136818539612502121e+00 3.117093220584176194e+01 3.208994130438514247e+01 5.590046655180245239e-01
1.163170633523504591e+02 2.116976984420899210e+00 3.116666986186409005e+01 3.231966242364629238e+01 5.745490849498082753e-01
1.182525152826321744e+02 2.096727138707109805e+00 3.116228207641319159e+01 3.254314745879595705e+01 5.904742459503538043e-01
1.202252130110633175e+02 2.076066602573595876e+00 3.115776528286813374e+01 3.276001468300891872e+01 6.067864604254751271e-01
1.222361347406483674e+02 2.054993346084110772e+00 3.115311581892719062e+01 3.296987335952588438e+01 6.234919545219135273e-01
1.242862963942484100e+02 2.033505734441768187e+00 3.114832992426493163e+01 3.317232400148837002e+01 6.405968524005309916e-01
1.263767535474361239e+02 2.011602553879382249e+00 3.114340373813669416e+01 3.336695867722249176e+01 6.581071593546390375e-01
1.285086034759171696e+02 1.989283038237213530e+00 3.113833329693136420e+01 3.355336136240352829e+01 6.760287438794279069e-01
1.306829873291318620e+02 1.966546896198638983e+00 3.113311453167325382e+01 3.373110834308566552e+01 6.943673182268170763e-01
1.329010924384954819e+02 1.943394339121120806e+00 3.112774326546761827e+01 3.389976867214365797e+01 7.131284182243255998e-01
1.351641547674846322e+02 1.919826109422577254e+00 3.112221521089151466e+01 3.405890468172117380e+01 7.323173816495369692e-01
1.374734615161394515e+02 1.895843509460416243e+00 3.111652596732749387e+01 3.420807255526565172e+01 7.519393252848018960e-01
1.398303538894096505e+02 1.871448430829310672e+00 3.111067101823763537e+01 3.434682296165013327e+01 7.719991208210537081e-01
1.422362300412597165e+02 1.846643384006718902e+00 3.110464572837677721e+01 3.447470175450855834e+01 7.925013692410587396e-01
1.446925482075627940e+02 1.821431528256179710e+00 3.109844534094242974e+01 3.459125073975239673e+01 8.134503738011709117e-01
1.472008300413058919e+02 1.795816701690532868e+00 3.109206497465835994e+01 3.469600851408218034e+01 8.348501115650748261e-01
